100000,100,2.763768,1
100000,100,2.707559,1
100000,100,2.707074,1
100000,100,2.717556,1
100000,100,2.723735,1
200000,100,9.801926,1
200000,100,9.886200,1
200000,100,9.931546,1
200000,100,9.988298,1
200000,100,10.001635,1
300000,100,22.482095,1
300000,100,22.702209,1
300000,100,22.747363,1
300000,100,22.765879,1
300000,100,22.773660,1
400000,100,39.141733,1
400000,100,39.145171,1
400000,100,39.156482,1
400000,100,39.157126,1
400000,100,36.703086,1
500000,100,61.954527,1
500000,100,61.960797,1
500000,100,61.931151,1
500000,100,61.956643,1
500000,100,61.936760,1
600000,100,87.663265,1
600000,100,87.674341,1
600000,100,87.600653,1
600000,100,81.743955,1
600000,100,87.687087,1
700000,100,120.119264,1
700000,100,120.122886,1
700000,100,120.150048,1
700000,100,120.232408,1
700000,100,120.231676,1
800000,100,155.261259,1
800000,100,155.243317,1
800000,100,155.293059,1
800000,100,155.243537,1
800000,100,155.264009,1
900000,100,194.981805,1
900000,100,194.941865,1
900000,100,194.927522,1
900000,100,194.912478,1
900000,100,194.964653,1
1000000,100,241.360234,1
1000000,100,241.446027,1
1000000,100,241.332894,1
1000000,100,241.426877,1
1000000,100,241.351009,1
