100000,100,3.305750,1
100000,100,3.229569,1
100000,100,3.319788,1
100000,100,3.253173,1
100000,100,3.222478,1
200000,100,7.074485,1
200000,100,7.044791,1
200000,100,6.977132,1
200000,100,7.333326,1
200000,100,7.303412,1
300000,100,11.719877,1
300000,100,12.008053,1
300000,100,12.040559,1
300000,100,12.245182,1
300000,100,11.811619,1
400000,100,18.200751,1
400000,100,18.030209,1
400000,100,18.107660,1
400000,100,18.017788,1
400000,100,17.958355,1
500000,100,23.975944,1
500000,100,24.231605,1
500000,100,24.280765,1
500000,100,24.441604,1
500000,100,24.245667,1
600000,100,120.260586,1
600000,100,30.078728,1
600000,100,30.090387,1
600000,100,29.923606,1
600000,100,29.940084,1
700000,100,36.722475,1
700000,100,36.771449,1
700000,100,37.127505,1
700000,100,37.986622,1
700000,100,37.056874,1
800000,100,44.571117,1
800000,100,44.559693,1
800000,100,44.149094,1
800000,100,44.693248,1
800000,100,43.803788,1
900000,100,49.995803,1
900000,100,50.333792,1
900000,100,50.911397,1
900000,100,50.498903,1
900000,100,51.507553,1
1000000,100,58.857031,1
1000000,100,327.384231,1
1000000,100,58.385959,1
1000000,100,57.877796,1
1000000,100,57.584761,1
